,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
39199,non_purchase,12,4,1,0.2802777777777778,12,0,1,16.816666666666666,0.0,0.0
1413,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
3808,non_purchase,3,1,1,174.715,3,0,3,3494.3,0.0,0.0
10735,non_purchase,2,2,1,1.2177777777777778,2,0,1,73.06666666666668,0.0,0.0
17230,non_purchase,3,3,1,0.04111111111111111,3,0,1,2.466666666666667,0.0,0.0
15024,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
30765,non_purchase,2,1,1,0.009444444444444445,2,0,1,0.5666666666666667,0.0,0.0
13546,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
39437,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
13818,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
21480,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
31683,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38387,non_purchase,5,4,1,0.023333333333333334,5,0,1,1.4000000000000001,0.0,0.0
8726,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
36013,non_purchase,7,3,1,24.115,7,0,2,723.4499999999999,0.0,0.0
16956,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
27425,non_purchase,2,1,1,0.0005555555555555556,2,0,2,0.016666666666666666,0.0,0.0
20362,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
19298,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
17326,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
26996,non_purchase,2,2,1,0.013055555555555556,2,0,1,0.7833333333333334,0.0,0.0
6128,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
14700,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
22261,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
28842,non_purchase,2,1,1,0.09388888888888888,2,0,1,5.633333333333333,0.0,0.0
7063,non_purchase,3,1,1,0.09027777777777778,3,0,1,5.416666666666667,0.0,0.0
4949,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
14635,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
32716,non_purchase,2,1,1,0.0002777777777777778,2,0,1,0.016666666666666666,0.0,0.0
